CBSA,Days with AQI,Good Days,City,score
"Shreveport-Bossier City, LA",182,113,Shreveport-Bossier City,2
"Kokomo, IN",182,110,Kokomo,2
"Hattiesburg, MS",91,59,Hattiesburg,2
"Gulfport-Biloxi-Pascagoula, MS",91,56,Gulfport-Biloxi-Pascagoula,2
"Memphis, TN-MS-AR",182,110,Memphis,2
"San Diego-Carlsbad, CA",150,95,San Diego-Carlsbad,2
"Athens-Clarke County, GA",182,113,Athens-Clarke County,2
"Louisville/Jefferson County, KY-IN",211,130,Louisville/Jefferson County,2
"Winston-Salem, NC",152,95,Winston-Salem,2
"Gettysburg, PA",153,93,Gettysburg,2
"Gadsden, AL",120,74,Gadsden,2
"Youngstown-Warren-Boardman, OH-PA",182,116,Youngstown-Warren-Boardman,2
"Fort Wayne, IN",182,116,Fort Wayne,2
"Fort Smith, AR-OK",120,77,Fort Smith,2
"Ardmore, OK",151,93,Ardmore,2
"Wheeling, WV-OH",182,114,Wheeling,2
"Weirton-Steubenville, WV-OH",182,115,Weirton-Steubenville,2
"Harrisburg-Carlisle, PA",152,96,Harrisburg-Carlisle,2
"Sacramento--Roseville--Arden-Arcade, CA",158,98,Sacramento--Roseville--Arden-Arcade,2
"Hot Springs, AR",47,30,Hot Springs,2
"Baltimore-Columbia-Towson, MD",183,111,Baltimore-Columbia-Towson,2
"Waco, TX",122,78,Waco,2
"Minneapolis-St. Paul-Bloomington, MN-WI",91,54,Minneapolis-St. Paul-Bloomington,1
"Albuquerque, NM",92,55,Albuquerque,1
"Macon, GA",182,92,Macon,1
"Las Cruces, NM",91,51,Las Cruces,1
"Lafayette, LA",182,100,Lafayette,1
"St. Joseph, MO-KS",89,52,St. Joseph,1
"Lake Charles, LA",182,93,Lake Charles,1
"Beaumont-Port Arthur, TX",121,63,Beaumont-Port Arthur,1
"Middlesborough, KY",91,52,Middlesborough,1
"Laredo, TX",122,62,Laredo,1
"Terre Haute, IN",182,109,Terre Haute,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",213,121,Washington-Arlington-Alexandria,1
"Waterloo-Cedar Falls, IA",212,127,Waterloo-Cedar Falls,1
"Bartlesville, OK",121,71,Bartlesville,1
"Lancaster, PA",152,87,Lancaster,1
"Augusta-Richmond County, GA-SC",191,96,Augusta-Richmond County,1
"Canton-Massillon, OH",182,101,Canton-Massillon,1
"Ponca City, OK",142,78,Ponca City,1
"Spartanburg, SC",213,114,Spartanburg,1
"Seattle-Tacoma-Bellevue, WA",122,70,Seattle-Tacoma-Bellevue,1
"Fresno, CA",182,96,Fresno,1
"Eugene, OR",91,47,Eugene,1
"Corpus Christi, TX",91,50,Corpus Christi,1
"Jacksonville, FL",92,48,Jacksonville,1
"Houma-Thibodaux, LA",181,104,Houma-Thibodaux,1
"Durango, CO",213,127,Durango,1
"Florence, SC",188,112,Florence,1
"Ogden-Clearfield, UT",214,107,Ogden-Clearfield,1
